,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSP amplitude (mV),PSP rise time (ms),PSP decay tau (ms),Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
307,mouse,VISp,116.63842888254308,25.623295862396663,L4,Nr5a1,EXC,17621,L5,Vip,INH,17617,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.6811591395235864,7.446528089528611,84.0663615181758,-70.0,100.0,125.0,25.0,50.0
308,mouse,VISp,6.649778467790674,81.10141530854615,L5,Pvalb,INH,17652,L4,Nr5a1,EXC,17651,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.5654512928602395,4.651024240085835,17.98356930697919,-55.0,0.0,25.0,75.0,100.0
309,mouse,VISp,53.729988114197404,88.99740165829682,L4,Pvalb,INH,17675,L23,Nr5a1,EXC,17674,AISynphys,Accessed on 2025-07-08 00:00:007,True,-1.1645145076435641,4.559548232475449,25.31806862000364,-55.0,50.0,75.0,75.0,100.0
310,mouse,VISp,41.7832724286538,90.60769331162173,L4,Pvalb,INH,17682,L4,Nr5a1,EXC,17681,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.7918715697247257,4.952126791022414,499.99998548548047,-55.0,25.0,50.0,75.0,100.0
311,mouse,VISp,70.76782503294824,104.08286403974486,L4,Sim1,EXC,17721,L5,Sst,INH,17724,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.000332416070392662,7.059099290983554,30.027717778081396,-70.0,50.0,75.0,100.0,125.0
312,mouse,VISp,99.37076464511131,53.89023645500025,L5,Pvalb,INH,17796,L5,,,17800,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.15323726646925223,3.9424597573941593,23.543913838495886,-55.0,75.0,100.0,50.0,75.0
313,mouse,VISp,25.81930643273739,50.552236203974715,L4,Pvalb,INH,17942,L4,Pvalb,INH,17952,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.12965750174180532,3.5326341530587344,499.99998896180404,-55.0,25.0,50.0,50.0,75.0
314,mouse,VISp,41.283042008159555,166.34177639764013,L6a,Vip,INH,19108,L6a,Sst,INH,19111,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.691171846085525,10.013522621800282,64.833211520507,-55.0,25.0,50.0,150.0,175.0
315,mouse,VISp,41.283042008159555,166.34177639764013,L6a,Sst,INH,19111,L6a,Vip,INH,19108,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.014420764514302058,12.320661153261492,109.28239995867551,-55.0,25.0,50.0,150.0,175.0
316,mouse,VISp,128.676543487516,95.52095942292121,L4,Sst,INH,19305,L23,Nr5a1,EXC,19301,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.11915766412874348,8.286710829205763,21.982517404092945,-55.0,125.0,150.0,75.0,100.0
317,mouse,VISp,18.875798654720366,80.65923728027974,L5,Sst,INH,19325,L4,Nr5a1,EXC,19326,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.17706872278183758,8.10322458557582,19.718366578172308,-55.0,0.0,25.0,75.0,100.0
318,mouse,VISp,94.87586363431605,72.72719540311351,L5,Sst,INH,19325,L4,Nr5a1,EXC,19328,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.10327981720501704,5.277407505413941,7.918643209691531,-55.0,75.0,100.0,50.0,75.0
319,mouse,VISp,18.875798654720366,80.65923728027974,L4,Nr5a1,EXC,19326,L5,Sst,INH,19325,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.03059060930322377,2.915549870858566,29.39284515797439,-70.0,0.0,25.0,75.0,100.0
320,mouse,VISp,16.98008768023499,4.599802270917726,L23,,EXC,19367,L23,Pvalb,INH,19363,AISynphys,Accessed on 2025-07-08 00:00:007,True,3.7401534535109193,3.468190159931113,18.88313031406051,-70.0,0.0,25.0,0.0,25.0
321,mouse,VISp,15.247112961032485,37.31010716432629,L23,,EXC,19368,L23,Pvalb,INH,19363,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.26874395970388465,3.440053064578886,7.603931050236224,-70.0,0.0,25.0,25.0,50.0
322,mouse,VISp,26.984552811598792,23.852804464842873,L23,Nr5a1,EXC,20840,L4,Nr5a1,EXC,20837,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.1308466474532872,1.487409768683825,28.08969094987677,-70.0,25.0,50.0,0.0,25.0
323,mouse,VISp,13.815812078212678,4.815606818407396,L4,Pvalb,INH,21429,L4,Sst,INH,21428,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.44148991241349717,7.439875804464874,162.52114264334296,-55.0,0.0,25.0,0.0,25.0
324,mouse,VISp,61.01391541847961,56.62936525784691,L23,Vip,INH,21686,L23,Sst,INH,21691,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.15996700997974903,10.782634937366598,499.9999991516019,-55.0,50.0,75.0,50.0,75.0
325,mouse,VISp,49.2214149388678,60.365119443150846,L23,Sst,INH,21687,L23,Vip,INH,21686,AISynphys,Accessed on 2025-07-08 00:00:007,True,-1.0235530374166288,6.983834926998695,24.677757226195972,-55.0,25.0,50.0,50.0,75.0
326,mouse,VISp,84.7415957842829,54.9398063260444,L23,Sst,INH,21687,L23,Vip,INH,21692,AISynphys,Accessed on 2025-07-08 00:00:007,True,-3.252830377815474e-06,4.7051090767901735,13.21987247718731,-55.0,75.0,100.0,50.0,75.0
327,mouse,VISp,30.499422159147898,19.090340843684643,L23,Sst,INH,22093,L23,Vip,INH,22092,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.4952708162515953,6.089505414480018,14.775270546801472,-55.0,25.0,50.0,0.0,25.0
328,mouse,VISp,32.44148675646349,45.99545409483662,L23,Vip,INH,22425,L23,Sst,INH,22423,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.6991712114235695,5.255735766421421,28.299944856554948,-55.0,25.0,50.0,25.0,50.0
329,mouse,VISp,15.041640877728145,59.5805292492884,L4,Vip,INH,22438,L23,Sst,INH,22435,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.05009624265780283,5.454607254565728,34.792223562275446,-55.0,0.0,25.0,50.0,75.0
330,mouse,VISp,12.695829997908618,10.432323224680205,L23,,INH,22525,L23,Sst,INH,22526,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.05586182271980487,8.316340242954766,63.40438678298287,-55.0,0.0,25.0,0.0,25.0
331,mouse,VISp,124.54559473040075,7.991190620979225,L23,Sst,INH,22542,L23,,,22549,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.41311442205605853,6.5331236458049275,34.654695651871904,-55.0,100.0,125.0,0.0,25.0
332,mouse,VISp,117.37105677128922,4.640922111041288,L23,,INH,22543,L23,Vip,INH,22548,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.15776251600373375,8.584094789071294,68.98899940009481,-55.0,100.0,125.0,0.0,25.0
333,mouse,VISp,39.5899747121589,70.72465720482913,L23,Sst,INH,22546,L23,Vip,INH,22548,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.2749154233517313,7.504038160088343,37.576726474830586,-55.0,25.0,50.0,50.0,75.0
334,mouse,VISp,49.05712758794125,34.271050342243164,L23,,EXC,22737,L23,Sst,INH,22738,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.2592053758934714,1.7200409302204438,7.218451989366992,-70.0,25.0,50.0,25.0,50.0
335,mouse,VISp,77.87555624227318,57.548971359760586,L23,Pvalb,INH,23094,L23,Pvalb,INH,23093,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.08273597928013426,3.189200208261032,13.187508835459372,-55.0,75.0,100.0,50.0,75.0
336,mouse,VISp,54.35205848120576,170.30287743436887,L4,Pvalb,INH,23140,L23,Pvalb,INH,23139,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.608987920787531,2.30979561850103,12.384956633086267,-55.0,50.0,75.0,150.0,175.0
