,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,sample size,column radius (um),connection probability,dataset,citation
69,L3,L2,DTC,DTC,15,50,0.4666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
70,L3,L2,DTC,L2a,285,50,0.6140350877192983,Schneider-Mizell2024,schneider-mizell_cell-type_2024
71,L3,L2,DTC,L2b,330,50,0.4909090909090909,Schneider-Mizell2024,schneider-mizell_cell-type_2024
72,L3,L2,DTC,L2c,360,50,0.40555555555555556,Schneider-Mizell2024,schneider-mizell_cell-type_2024
73,L3,L2,DTC,STC,5,50,0.4,Schneider-Mizell2024,schneider-mizell_cell-type_2024
74,L3,L2,ITC,DTC,33,50,0.15151515151515152,Schneider-Mizell2024,schneider-mizell_cell-type_2024
75,L3,L2,ITC,L2a,627,50,0.001594896331738437,Schneider-Mizell2024,schneider-mizell_cell-type_2024
76,L3,L2,ITC,L2b,726,50,0.008264462809917356,Schneider-Mizell2024,schneider-mizell_cell-type_2024
77,L3,L2,ITC,L2c,792,50,0.011363636363636364,Schneider-Mizell2024,schneider-mizell_cell-type_2024
78,L3,L2,PTC,DTC,36,50,0.3333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
79,L3,L2,PTC,L2a,684,50,0.6198830409356725,Schneider-Mizell2024,schneider-mizell_cell-type_2024
80,L3,L2,PTC,L2b,792,50,0.47095959595959597,Schneider-Mizell2024,schneider-mizell_cell-type_2024
81,L3,L2,PTC,L2c,864,50,0.5752314814814815,Schneider-Mizell2024,schneider-mizell_cell-type_2024
82,L3,L2,STC,L2a,285,50,0.2,Schneider-Mizell2024,schneider-mizell_cell-type_2024
83,L3,L2,STC,L2b,330,50,0.12424242424242424,Schneider-Mizell2024,schneider-mizell_cell-type_2024
84,L3,L2,STC,L2c,360,50,0.15833333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
85,L3,L3,DTC,DTC,20,50,0.3,Schneider-Mizell2024,schneider-mizell_cell-type_2024
86,L3,L3,DTC,ITC,55,50,0.23636363636363636,Schneider-Mizell2024,schneider-mizell_cell-type_2024
87,L3,L3,DTC,L3a,370,50,0.25135135135135134,Schneider-Mizell2024,schneider-mizell_cell-type_2024
88,L3,L3,DTC,L3b,480,50,0.1125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
89,L3,L3,DTC,PTC,60,50,0.45,Schneider-Mizell2024,schneider-mizell_cell-type_2024
90,L3,L3,DTC,STC,25,50,0.16,Schneider-Mizell2024,schneider-mizell_cell-type_2024
91,L3,L3,ITC,DTC,55,50,0.2,Schneider-Mizell2024,schneider-mizell_cell-type_2024
92,L3,L3,ITC,ITC,110,50,0.14545454545454545,Schneider-Mizell2024,schneider-mizell_cell-type_2024
93,L3,L3,ITC,L3a,814,50,0.03194103194103194,Schneider-Mizell2024,schneider-mizell_cell-type_2024
94,L3,L3,ITC,L3b,1056,50,0.022727272727272728,Schneider-Mizell2024,schneider-mizell_cell-type_2024
95,L3,L3,ITC,PTC,132,50,0.19696969696969696,Schneider-Mizell2024,schneider-mizell_cell-type_2024
96,L3,L3,ITC,STC,55,50,0.07272727272727272,Schneider-Mizell2024,schneider-mizell_cell-type_2024
97,L3,L3,PTC,DTC,60,50,0.31666666666666665,Schneider-Mizell2024,schneider-mizell_cell-type_2024
98,L3,L3,PTC,ITC,132,50,0.18181818181818182,Schneider-Mizell2024,schneider-mizell_cell-type_2024
99,L3,L3,PTC,L3a,888,50,0.49774774774774777,Schneider-Mizell2024,schneider-mizell_cell-type_2024
100,L3,L3,PTC,L3b,1152,50,0.3654513888888889,Schneider-Mizell2024,schneider-mizell_cell-type_2024
101,L3,L3,PTC,PTC,132,50,0.5833333333333334,Schneider-Mizell2024,schneider-mizell_cell-type_2024
102,L3,L3,PTC,STC,60,50,0.11666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
103,L3,L3,STC,DTC,25,50,0.08,Schneider-Mizell2024,schneider-mizell_cell-type_2024
104,L3,L3,STC,ITC,55,50,0.21818181818181817,Schneider-Mizell2024,schneider-mizell_cell-type_2024
105,L3,L3,STC,L3a,370,50,0.2,Schneider-Mizell2024,schneider-mizell_cell-type_2024
106,L3,L3,STC,L3b,480,50,0.16875,Schneider-Mizell2024,schneider-mizell_cell-type_2024
107,L3,L3,STC,PTC,60,50,0.16666666666666666,Schneider-Mizell2024,schneider-mizell_cell-type_2024
108,L3,L3,STC,STC,20,50,0.5,Schneider-Mizell2024,schneider-mizell_cell-type_2024
109,L3,L4,DTC,DTC,45,50,0.13333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
