,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,Stimulus pulse frequency (Hz),Number of pulses,Interburst interval,Number of bursts,Paired pulse difference,stp induction,stp recovery,Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
230,mouse,VISp,10.840514500465112,187.17151327842373,L23,Vip,INH,15964,L5,Vip,INH,15961,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.012747741807752714,0.13108092079075914,-0.2926341859884622,-55.0,0.0,25.0,175.0,200.0
231,mouse,VISp,83.34799557415057,118.25509941267374,L23,Sst,INH,16021,L23,Vip,INH,16027,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,,-0.01940627603198676,,-55.0,75.0,100.0,100.0,125.0
232,mouse,VISp,9.04316969267341,43.82504158765297,L23,,EXC,16031,L23,Pvalb,INH,16036,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.0030927824278641058,-0.1312630152225782,0.004591004893473305,-70.0,0.0,25.0,25.0,50.0
233,mouse,VISp,70.59061572924321,39.73711746435942,L23,,EXC,16040,L23,Pvalb,INH,16035,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.006075745766821112,-0.05258171322823858,-0.11775401161203872,-70.0,50.0,75.0,25.0,50.0
234,mouse,VISp,40.95673124914659,64.91725048117122,L23,,EXC,16040,L23,Pvalb,INH,16036,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.27868160519721435,0.036811362370250955,-0.0671628358003038,-70.0,25.0,50.0,50.0,75.0
235,mouse,VISp,13.32258541223444,4.409050517255802,L6a,Pvalb,INH,16045,L6a,Pvalb,INH,16046,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.32209620560763286,-0.29227260928693843,-0.17070787193628226,-55.0,0.0,25.0,0.0,25.0
236,mouse,VISp,97.22868419643719,100.87524129413242,L5,Pvalb,INH,16067,L5,Sim1,EXC,16069,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.6078640207822061,-0.6104969083447203,-0.098896485243631,-55.0,75.0,100.0,100.0,125.0
237,mouse,VISp,97.22868419643719,100.87524129413242,L5,Sim1,EXC,16069,L5,Pvalb,INH,16067,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3645507232819907,-0.947732611326493,-0.25322717490967517,-70.0,75.0,100.0,100.0,125.0
238,mouse,VISp,151.31911120619924,10.41796782323165,L23,Pvalb,INH,16078,L23,Pvalb,INH,16081,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.23538974515134864,-0.26319315701547724,-0.08798258312867697,-55.0,150.0,175.0,0.0,25.0
239,mouse,VISp,131.40626435794945,30.35531784957403,L23,Pvalb,INH,16081,L23,Sst,INH,16079,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3074559630931962,-0.39737928146200535,-0.04826595120730981,-55.0,125.0,150.0,25.0,50.0
240,mouse,VISp,81.98824689601753,31.233031289929027,L23,Sst,INH,16082,L23,Pvalb,INH,16081,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.014530036744996793,-0.31912642154524296,0.5125407278282752,-55.0,75.0,100.0,25.0,50.0
241,mouse,VISp,23.512076835925864,17.79579764105869,L23,Vip,INH,16092,L23,Sst,INH,16093,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.27550251989043395,0.09759800873780229,0.4035708536982405,-55.0,0.0,25.0,0.0,25.0
242,mouse,VISp,14.251475963836954,28.487505898063038,L4,Pvalb,INH,16216,L4,Pvalb,INH,16217,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.48182085506276495,-0.45608281935797546,-0.24047980289292148,-55.0,0.0,25.0,25.0,50.0
243,mouse,VISp,68.96219449511047,46.93482096246421,L4,Pvalb,INH,16216,L4,Pvalb,INH,16218,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.31509621069894816,-0.5780820453646857,-0.24636866878360203,-55.0,50.0,75.0,25.0,50.0
244,mouse,VISp,93.92545402322116,17.034960871741454,L4,Pvalb,INH,16217,L4,Pvalb,INH,16213,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.17580832274959882,-0.5386179267687268,-0.17939821174546322,-55.0,75.0,100.0,0.0,25.0
245,mouse,VISp,14.251475963836954,28.487505898063038,L4,Pvalb,INH,16217,L4,Pvalb,INH,16216,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.21600721722795435,-0.6178473499235314,-0.15786471246224598,-55.0,0.0,25.0,25.0,50.0
246,mouse,VISp,62.49881703461871,138.3995234705425,L6b,Sst,INH,16283,L6a,Vip,INH,16286,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,1.8041521736810953,1.111490385235078,,-55.0,50.0,75.0,125.0,150.0
247,mouse,VISp,64.48272020949182,46.86104070039807,L6a,Sst,INH,16285,L6a,Vip,INH,16286,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.7086172938809431,0.8634368731847935,,-55.0,50.0,75.0,25.0,50.0
248,mouse,VISp,55.89268292715252,115.81795614094,L6a,Vip,INH,16286,L6a,Sst,INH,16284,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2908730129756288,-0.43273235503722524,-0.3901068391338795,-55.0,50.0,75.0,100.0,125.0
249,mouse,VISp,10.187415861215953,70.98690439511111,L4,Tlx3,EXC,16295,L5,Pvalb,INH,16296,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.0030787831980292717,-0.3854223973754658,-0.15038610513573492,-70.0,0.0,25.0,50.0,75.0
