,firing rate (Hz),temporal frequency (Hz),stimulus orientation (degrees),region,spiking class,layer,citation,dataset
123,20.524573293322717,optimal,optimal,CA1,FS,,siegle_survey_2019,Siegle2019
124,3.2142186132636907,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
125,0.6289265969433498,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
126,2.8370759224789674,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
127,0.1821975363059887,optimal,optimal,LP,RS,,siegle_survey_2019,Siegle2019
128,1.6705867395986431,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
129,3.6598863706946423,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
130,7.206098476755228,optimal,optimal,VISrl,RS,L5,siegle_survey_2019,Siegle2019
131,4.841248821844844,optimal,optimal,VISrl,RS,L5,siegle_survey_2019,Siegle2019
132,0.0950826527473476,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
133,7.69054207183121,optimal,optimal,VISrl,RS,L4,siegle_survey_2019,Siegle2019
134,3.131885347114022,optimal,optimal,VISrl,RS,L3,siegle_survey_2019,Siegle2019
135,0.2964029890925414,optimal,optimal,VISrl,RS,L3,siegle_survey_2019,Siegle2019
136,0.4573529992987064,optimal,optimal,VISrl,RS,L2,siegle_survey_2019,Siegle2019
137,3.907950146716406,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
138,3.042644887915125,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
139,9.38556084577031,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
140,2.79033058593194,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
141,10.613667511423204,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
142,9.995895862567531,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
143,1.52072088158866,optimal,optimal,APN,FS,,siegle_survey_2019,Siegle2019
144,13.881343534724344,optimal,optimal,APN,FS,,siegle_survey_2019,Siegle2019
145,7.003182647044869,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
146,0.1253603689853298,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
147,0.6979810374861163,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
148,0.4748821984550268,optimal,optimal,APN,FS,,siegle_survey_2019,Siegle2019
149,0.9149741237413666,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
150,9.069503983286111,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
151,0.0640693686184637,optimal,optimal,VISam,RS,L5,siegle_survey_2019,Siegle2019
152,0.0950826527473476,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
153,2.2851707939613943,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
154,2.4669354412679554,optimal,optimal,VISam,RS,L4,siegle_survey_2019,Siegle2019
155,24.60834666942109,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
156,0.0690544405427664,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
157,2.2281314309627724,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
158,0.85999337875953,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
159,0.9784485565482768,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
160,2.152904980921788,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
161,0.1779480273852729,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
162,0.1582940661516756,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
163,0.5163148734880157,optimal,optimal,VISam,FS,L2,siegle_survey_2019,Siegle2019
164,0.1030504728099745,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
165,0.1237668369575181,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
166,1.0515851455572276,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
167,17.233336873016146,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
168,4.538471480536632,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
169,8.261035840931568,optimal,optimal,PO,FS,,siegle_survey_2019,Siegle2019
170,0.1408467516204544,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
171,0.1821476787873546,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
172,5.758609153262547,optimal,optimal,PO,RS,,siegle_survey_2019,Siegle2019
173,0.3638638768922745,optimal,optimal,POL,RS,,siegle_survey_2019,Siegle2019
174,3.844207586215391,optimal,optimal,LP,RS,,siegle_survey_2019,Siegle2019
175,6.393910006255998,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
176,16.38270110953707,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
177,5.120653683564272,optimal,optimal,POL,RS,,siegle_survey_2019,Siegle2019
178,10.83198578113918,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
179,0.324053335491734,optimal,optimal,TH,FS,,siegle_survey_2019,Siegle2019
180,0.2188494577201521,optimal,optimal,LP,RS,,siegle_survey_2019,Siegle2019
181,1.1192134140321497,optimal,optimal,LP,RS,,siegle_survey_2019,Siegle2019
182,0.395006189994826,optimal,optimal,LGd,FS,,siegle_survey_2019,Siegle2019
183,0.1191372899045197,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
184,0.0661873832802887,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
185,0.1927376601122008,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
186,8.33274837490381,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
187,0.105899813248462,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
188,3.367613094325863,optimal,optimal,LGd,FS,,siegle_survey_2019,Siegle2019
189,0.3309369164014437,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
190,8.426235310230032,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
191,3.5355873557896427,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
192,2.313323758182676,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
193,1.7051139340499286,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
194,0.2054456377020162,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
195,4.54521867951151,optimal,optimal,LGd,FS,,siegle_survey_2019,Siegle2019
