sample size,Presynaptic layer,Postsynaptic layer,Presynaptic mtype,Postsynaptic mtype,connection probability,max distance (um),max horizontal distance (um),Slice thickness (um),dataset
7,L5,L23,NGC,CHC,0.2857142857142857,250,150,300,Jiang2016
10,L5,L23,NGC,PC,0.3,250,150,300,Jiang2016
11,L5,L5,NGC,MC,0.5454545454545454,250,150,300,Jiang2016
6,L5,L5,NGC,NGC,0.6666666666666666,250,150,300,Jiang2016
15,L5,L5,NGC,LBC,0.6666666666666666,250,150,300,Jiang2016
8,L5,L5,NGC,SC,0.625,250,150,300,Jiang2016
8,L5,L5,NGC,HEC,0.625,250,150,300,Jiang2016
10,L5,L5,NGC,DC,0.6,250,150,300,Jiang2016
11,L5,L5,NGC,PC,0.6363636363636364,250,150,300,Jiang2016
53,L5,L1,LBC,SBC-like,0.0,250,150,300,Jiang2016
51,L5,L1,LBC,eNGC,0.0,250,150,300,Jiang2016
40,L5,L23,LBC,MC,0.025,250,150,300,Jiang2016
51,L5,L23,LBC,NGC,0.0196078431372549,250,150,300,Jiang2016
62,L5,L23,LBC,BTC,0.032258064516129,250,150,300,Jiang2016
35,L5,L23,LBC,BP,0.0,250,150,300,Jiang2016
10,L5,L23,LBC,DBC,0.0,250,150,300,Jiang2016
110,L5,L23,LBC,LBC,0.2181818181818181,250,150,300,Jiang2016
11,L5,L23,LBC,CHC,0.0,250,150,300,Jiang2016
69,L5,L23,LBC,PC,0.1014492753623188,250,150,300,Jiang2016
76,L5,L5,LBC,MC,0.1578947368421052,250,150,300,Jiang2016
20,L5,L5,LBC,NGC,0.15,250,150,300,Jiang2016
67,L5,L5,LBC,LBC,0.4776119402985074,250,150,300,Jiang2016
32,L5,L5,LBC,SC,0.125,250,150,300,Jiang2016
26,L5,L5,LBC,HEC,0.0384615384615384,250,150,300,Jiang2016
22,L5,L5,LBC,DC,0.0,250,150,300,Jiang2016
132,L5,L5,LBC,PC,0.25,250,150,300,Jiang2016
34,L5,L1,SC,SBC-like,0.0,250,150,300,Jiang2016
26,L5,L1,SC,eNGC,0.0,250,150,300,Jiang2016
16,L5,L23,SC,MC,0.0,250,150,300,Jiang2016
35,L5,L23,SC,NGC,0.0,250,150,300,Jiang2016
32,L5,L23,SC,BTC,0.0,250,150,300,Jiang2016
33,L5,L23,SC,BP,0.0,250,150,300,Jiang2016
7,L5,L23,SC,DBC,0.0,250,150,300,Jiang2016
52,L5,L23,SC,LBC,0.0,250,150,300,Jiang2016
6,L5,L23,SC,CHC,0.0,250,150,300,Jiang2016
35,L5,L23,SC,PC,0.0,250,150,300,Jiang2016
44,L5,L5,SC,MC,0.0,250,150,300,Jiang2016
8,L5,L5,SC,NGC,0.125,250,150,300,Jiang2016
31,L5,L5,SC,LBC,0.032258064516129,250,150,300,Jiang2016
24,L5,L5,SC,SC,0.625,250,150,300,Jiang2016
14,L5,L5,SC,HEC,0.0,250,150,300,Jiang2016
10,L5,L5,SC,DC,0.0,250,150,300,Jiang2016
53,L5,L5,SC,PC,0.3018867924528302,250,150,300,Jiang2016
21,L5,L1,HEC,SBC-like,0.0,250,150,300,Jiang2016
19,L5,L1,HEC,eNGC,0.0,250,150,300,Jiang2016
13,L5,L23,HEC,MC,0.0,250,150,300,Jiang2016
30,L5,L23,HEC,NGC,0.0,250,150,300,Jiang2016
18,L5,L23,HEC,BTC,0.0,250,150,300,Jiang2016
17,L5,L23,HEC,BP,0.0,250,150,300,Jiang2016
10,L5,L23,HEC,DBC,0.0,250,150,300,Jiang2016
72,L5,L23,HEC,LBC,0.0,250,150,300,Jiang2016
4,L5,L23,HEC,CHC,0.0,250,150,300,Jiang2016
40,L5,L23,HEC,PC,0.0,250,150,300,Jiang2016
33,L5,L5,HEC,MC,0.0,250,150,300,Jiang2016
8,L5,L5,HEC,NGC,0.0,250,150,300,Jiang2016
26,L5,L5,HEC,LBC,0.0,250,150,300,Jiang2016
16,L5,L5,HEC,SC,0.0,250,150,300,Jiang2016
22,L5,L5,HEC,HEC,0.5,250,150,300,Jiang2016
10,L5,L5,HEC,DC,0.0,250,150,300,Jiang2016
53,L5,L5,HEC,PC,0.3018867924528302,250,150,300,Jiang2016
18,L5,L1,DC,SBC-like,0.0,250,150,300,Jiang2016
18,L5,L1,DC,eNGC,0.0,250,150,300,Jiang2016
12,L5,L23,DC,MC,0.0,250,150,300,Jiang2016
18,L5,L23,DC,NGC,0.0,250,150,300,Jiang2016
15,L5,L23,DC,BTC,0.0,250,150,300,Jiang2016
17,L5,L23,DC,BP,0.0,250,150,300,Jiang2016
6,L5,L23,DC,DBC,0.0,250,150,300,Jiang2016
24,L5,L23,DC,LBC,0.0,250,150,300,Jiang2016
8,L5,L23,DC,CHC,0.0,250,150,300,Jiang2016
19,L5,L23,DC,PC,0.0,250,150,300,Jiang2016
24,L5,L5,DC,MC,0.0833333333333333,250,150,300,Jiang2016
9,L5,L5,DC,NGC,0.0,250,150,300,Jiang2016
22,L5,L5,DC,LBC,0.0,250,150,300,Jiang2016
11,L5,L5,DC,SC,0.0,250,150,300,Jiang2016
6,L5,L5,DC,HEC,0.0,250,150,300,Jiang2016
11,L5,L5,DC,DC,0.0,250,150,300,Jiang2016
27,L5,L5,DC,PC,0.0,250,150,300,Jiang2016
67,L5,L1,PC,SBC-like,0.0,250,150,300,Jiang2016
60,L5,L1,PC,eNGC,0.0166666666666666,250,150,300,Jiang2016
74,L5,L23,PC,MC,0.0,250,150,300,Jiang2016
74,L5,L23,PC,NGC,0.027027027027027,250,150,300,Jiang2016
73,L5,L23,PC,BTC,0.0,250,150,300,Jiang2016
65,L5,L23,PC,BP,0.0,250,150,300,Jiang2016
34,L5,L23,PC,DBC,0.0,250,150,300,Jiang2016
173,L5,L23,PC,LBC,0.0289017341040462,250,150,300,Jiang2016
14,L5,L23,PC,CHC,0.0,250,150,300,Jiang2016
149,L5,L23,PC,PC,0.0,250,150,300,Jiang2016
102,L5,L5,PC,MC,0.0784313725490196,250,150,300,Jiang2016
12,L5,L5,PC,NGC,0.0,250,150,300,Jiang2016
115,L5,L5,PC,LBC,0.1130434782608695,250,150,300,Jiang2016
48,L5,L5,PC,SC,0.0,250,150,300,Jiang2016
48,L5,L5,PC,HEC,0.1666666666666666,250,150,300,Jiang2016
26,L5,L5,PC,DC,0.0,250,150,300,Jiang2016
150,L5,L5,PC,PC,0.0,250,150,300,Jiang2016
