firing rate (Hz),region,spiking class,citation,dataset
0.532640132707938,grey,FS,siegle_survey_2019,Siegle2019
1.05745192719266,grey,RS,siegle_survey_2019,Siegle2019
0.425143267366276,APN,FS,siegle_survey_2019,Siegle2019
1.47013185377731,CA1,RS,siegle_survey_2019,Siegle2019
8.33874587537471,grey,RS,siegle_survey_2019,Siegle2019
0.355378869171135,VISam,RS,siegle_survey_2019,Siegle2019
1.21005233362397,VISpm,RS,siegle_survey_2019,Siegle2019
1.70386390874473,VISpm,RS,siegle_survey_2019,Siegle2019
1.46181718163871,VISam,RS,siegle_survey_2019,Siegle2019
22.8341144408621,VISpm,RS,siegle_survey_2019,Siegle2019
0.568337355005824,VISpm,RS,siegle_survey_2019,Siegle2019
0.864725902414762,VISam,RS,siegle_survey_2019,Siegle2019
0.968417627133892,VISpm,RS,siegle_survey_2019,Siegle2019
1.16782478918548,VISam,RS,siegle_survey_2019,Siegle2019
3.05002494960977,VISpm,RS,siegle_survey_2019,Siegle2019
0.162235250238579,VISam,RS,siegle_survey_2019,Siegle2019
0.155509936931495,VISam,RS,siegle_survey_2019,Siegle2019
0.744130050839195,VISam,FS,siegle_survey_2019,Siegle2019
0.138091886257614,VISpm,RS,siegle_survey_2019,Siegle2019
0.401966803046479,VISam,RS,siegle_survey_2019,Siegle2019
1.42235765291,grey,FS,siegle_survey_2019,Siegle2019
15.1104856356732,APN,RS,siegle_survey_2019,Siegle2019
5.63065849750986,APN,RS,siegle_survey_2019,Siegle2019
8.27100736451842,PO,FS,siegle_survey_2019,Siegle2019
0.149596362474426,grey,FS,siegle_survey_2019,Siegle2019
0.148041306731449,grey,FS,siegle_survey_2019,Siegle2019
5.98228733941619,PO,RS,siegle_survey_2019,Siegle2019
0.578585856634971,POL,RS,siegle_survey_2019,Siegle2019
4.58782792599673,LP,RS,siegle_survey_2019,Siegle2019
7.17915128939565,LP,FS,siegle_survey_2019,Siegle2019
15.9487553703591,grey,FS,siegle_survey_2019,Siegle2019
5.11777400335042,POL,RS,siegle_survey_2019,Siegle2019
11.0338435901833,LP,FS,siegle_survey_2019,Siegle2019
0.510129146505452,TH,FS,siegle_survey_2019,Siegle2019
0.257099925858795,LP,RS,siegle_survey_2019,Siegle2019
0.866430250976618,LP,RS,siegle_survey_2019,Siegle2019
0.353617789917898,LGd,FS,siegle_survey_2019,Siegle2019
0.185880996477232,grey,RS,siegle_survey_2019,Siegle2019
0.0980721821904414,grey,RS,siegle_survey_2019,Siegle2019
0.211176569896331,grey,RS,siegle_survey_2019,Siegle2019
7.17903785096879,DG,RS,siegle_survey_2019,Siegle2019
0.132283408535944,grey,RS,siegle_survey_2019,Siegle2019
2.84312615877281,LGd,FS,siegle_survey_2019,Siegle2019
0.384824461195474,grey,RS,siegle_survey_2019,Siegle2019
10.5779061722571,LP,FS,siegle_survey_2019,Siegle2019
4.29233802438387,LP,FS,siegle_survey_2019,Siegle2019
2.91357333634622,LP,FS,siegle_survey_2019,Siegle2019
1.64201672832564,CA1,RS,siegle_survey_2019,Siegle2019
0.308419389023851,grey,RS,siegle_survey_2019,Siegle2019
6.91926815210028,LGd,FS,siegle_survey_2019,Siegle2019
0.265909451278948,CA1,FS,siegle_survey_2019,Siegle2019
9.48165210974878,LGd,FS,siegle_survey_2019,Siegle2019
3.96663618918675,grey,RS,siegle_survey_2019,Siegle2019
4.29112448755471,VIS,FS,siegle_survey_2019,Siegle2019
0.254821801082564,VIS,RS,siegle_survey_2019,Siegle2019
0.288722016279471,VIS,RS,siegle_survey_2019,Siegle2019
0.40504018585418,VIS,RS,siegle_survey_2019,Siegle2019
0.217355111811222,DG,RS,siegle_survey_2019,Siegle2019
10.6142361746701,VISpm,FS,siegle_survey_2019,Siegle2019
1.04375341468643,VIS,RS,siegle_survey_2019,Siegle2019
0.557020967134505,VIS,RS,siegle_survey_2019,Siegle2019
0.334053873463243,DG,FS,siegle_survey_2019,Siegle2019
1.96812999533834,DG,RS,siegle_survey_2019,Siegle2019
1.13265294314228,DG,FS,siegle_survey_2019,Siegle2019
6.55733569768916,DG,RS,siegle_survey_2019,Siegle2019
0.197008638698381,DG,FS,siegle_survey_2019,Siegle2019
1.98197037961613,VIS,RS,siegle_survey_2019,Siegle2019
1.10161008862527,VISpm,RS,siegle_survey_2019,Siegle2019
0.106024080097237,CA1,RS,siegle_survey_2019,Siegle2019
0.446093657468784,VIS,RS,siegle_survey_2019,Siegle2019
0.504941092859258,CA1,RS,siegle_survey_2019,Siegle2019
0.183820236845902,CA1,RS,siegle_survey_2019,Siegle2019
0.510699589222367,CA1,RS,siegle_survey_2019,Siegle2019
22.9903587857094,VIS,FS,siegle_survey_2019,Siegle2019
0.161463721553832,CA1,RS,siegle_survey_2019,Siegle2019
0.0845950324179706,VIS,RS,siegle_survey_2019,Siegle2019
0.102523817602014,CA1,RS,siegle_survey_2019,Siegle2019
0.551460710537705,CA1,RS,siegle_survey_2019,Siegle2019
1.00389786596862,CA1,RS,siegle_survey_2019,Siegle2019
0.851963206385886,VIS,RS,siegle_survey_2019,Siegle2019
0.467115675572171,CA1,RS,siegle_survey_2019,Siegle2019
0.989119122916492,VIS,RS,siegle_survey_2019,Siegle2019
0.249638281939305,VIS,RS,siegle_survey_2019,Siegle2019
0.486110425254736,VIS,RS,siegle_survey_2019,Siegle2019
0.791419702792632,VIS,RS,siegle_survey_2019,Siegle2019
