,orientation selectivity index,visual stimulus type,notes,stimulus orientation (degrees),spiking class,region,start time (ms),end time (ms),resolution,simulus drift speed (degrees/s),stimulus width (degrees),stimulus height (degrees),dataset,citation
26,0.0689776498630344,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
27,0.0736903233987308,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
28,0.0397994458031601,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
29,0.041384668310971,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
30,0.0737609228636159,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
31,0.1794156098463998,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
32,0.1073024931703008,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
33,0.1570540132436748,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
34,0.3330583057837568,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
35,0.0602401032711423,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
36,0.0984232852750287,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
37,0.1006466252581076,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
38,0.1433135566169651,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
