,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,synaptic conductance (nS),reversal potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
394,mouse,VISp,54.94603640970746,103.07383127444677,L5,,INH,4501,L5,Rorb,EXC,4499,AISynphys,Accessed on 2025-07-07 00:00:007,True,-26.097436324834995,-75.05316526187337,50.0,75.0,100.0,125.0
395,mouse,VISp,39.07586823984224,79.39510734360451,L5,Tlx3,EXC,4593,L5,Sst,INH,4598,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.8954561697176146e-10,-35.614007088729245,25.0,50.0,75.0,100.0
396,mouse,VISp,27.727504916929462,32.69544092395223,L4,Rorb,EXC,4687,L4,Rorb,EXC,4691,AISynphys,Accessed on 2025-07-07 00:00:007,True,-44.26886115385176,-32.801302012137874,25.0,50.0,25.0,50.0
397,mouse,VISp,91.51349436089576,18.30385959923136,L4,Rorb,EXC,4688,L4,Rorb,EXC,4692,AISynphys,Accessed on 2025-07-07 00:00:007,True,-19.119702736706014,-45.259182919284335,75.0,100.0,0.0,25.0
398,mouse,VISp,37.226688774452946,34.531883910091224,L4,Rorb,EXC,4690,L4,Rorb,EXC,4688,AISynphys,Accessed on 2025-07-07 00:00:007,True,-7.188637719722048,-34.74345092728551,25.0,50.0,25.0,50.0
399,mouse,VISp,82.25270806223527,10.620618865148149,L4,Rorb,EXC,4691,L4,Rorb,EXC,4688,AISynphys,Accessed on 2025-07-07 00:00:007,True,-4.475485876106758,-34.219842514819604,75.0,100.0,0.0,25.0
400,mouse,VISp,91.51349436089576,18.30385959923136,L4,Rorb,EXC,4692,L4,Rorb,EXC,4688,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.448903484117866,2.934956883068669,75.0,100.0,0.0,25.0
401,mouse,VISp,113.70894002149852,9.225989281768268,L5,Rorb,EXC,4796,L5,Rorb,EXC,4791,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.03784472650232175,-2760.3419133012844,100.0,125.0,0.0,25.0
402,mouse,VISp,124.99172605642404,180.02397692853555,L5,Pvalb,INH,4906,L5,Pvalb,INH,4903,AISynphys,Accessed on 2025-07-07 00:00:007,True,-16.309351459570923,-73.68496381280305,100.0,125.0,175.0,200.0
403,mouse,VISp,94.67327557119792,105.06742528448119,L5,Sst,INH,5188,L5,Sst,INH,5186,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.095527996476319,-75.25089973754977,75.0,100.0,100.0,125.0
404,mouse,VISp,96.68468441989833,25.647158740583905,L4,Tlx3,EXC,5632,L5,Pvalb,INH,5633,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.4773998564278845,-302.73248144351743,75.0,100.0,25.0,50.0
405,mouse,VISp,96.68468441989833,25.647158740583905,L5,Pvalb,INH,5633,L4,Tlx3,EXC,5632,AISynphys,Accessed on 2025-07-07 00:00:007,True,-13.678281982930214,-67.56113931673103,75.0,100.0,25.0,50.0
406,mouse,VISp,17.262114409096018,54.47396932469009,L5,Pvalb,INH,5757,L5,Pvalb,INH,5755,AISynphys,Accessed on 2025-07-07 00:00:007,True,-22.37060987698823,-76.24765138862142,0.0,25.0,50.0,75.0
407,mouse,VISp,4.550121940750509,126.05017916724393,L5,Tlx3,EXC,5858,L5,,,5859,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.023674858872593154,-621.0084022795487,0.0,25.0,125.0,150.0
408,mouse,VISp,53.546906665489956,74.97861268339986,L1,,EXC,5982,L23,,EXC,5985,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.10325883998732414,-1333.8601940246908,50.0,75.0,50.0,75.0
409,mouse,VISp,53.546906665489956,74.97861268339986,L23,,EXC,5985,L1,,EXC,5982,AISynphys,Accessed on 2025-07-07 00:00:007,True,12.56632248259612,-90.62691474625865,50.0,75.0,50.0,75.0
410,mouse,VISp,0.6034665315128502,9.166039856194052,L5,Tlx3,EXC,6013,L5,Sst,INH,6026,AISynphys,Accessed on 2025-07-07 00:00:007,True,4.2185397672124845,-143.08963443774982,0.0,25.0,0.0,25.0
411,mouse,VISp,0.6034665315128502,9.166039856194052,L5,Sst,INH,6026,L5,Tlx3,EXC,6013,AISynphys,Accessed on 2025-07-07 00:00:007,True,-11.829612473805355,-71.77213684364489,0.0,25.0,0.0,25.0
412,mouse,VISp,117.4209799241598,30.014567147638452,L23,,EXC,6042,L23,,,6039,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.5003404737167704,-241.08003738191354,100.0,125.0,25.0,50.0
413,mouse,VISp,20.60870898904145,4.590159786433372,L4,Rorb,EXC,6139,L4,Rorb,EXC,6138,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.08123459708290699,-7345.871113619807,0.0,25.0,0.0,25.0
414,mouse,VISp,72.00956848328204,21.78539811092543,L23,,EXC,6202,L23,,INH,6207,AISynphys,Accessed on 2025-07-07 00:00:007,True,40.237859586286454,-88.5810740743939,50.0,75.0,0.0,25.0
415,mouse,VISp,150.5162156928355,5.896957194839259,L4,,EXC,6362,L4,Sim1,EXC,6357,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.443489997361351,-36.86811054894096,150.0,175.0,0.0,25.0
416,mouse,VISp,81.04378274805237,6.851552817904137,L6a,,EXC,6382,L6a,,,6380,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.7535574423658482,-33.52934218915419,75.0,100.0,0.0,25.0
417,mouse,VISp,7.335183153614262,58.632146854289054,L6a,Sst,INH,6383,L6a,Sst,INH,6381,AISynphys,Accessed on 2025-07-07 00:00:007,True,-18.483181665193687,-73.62698571572173,0.0,25.0,50.0,75.0
418,mouse,VISp,20.866001198191167,5.652248932688025,L23,,EXC,6391,L23,,EXC,6394,AISynphys,Accessed on 2025-07-07 00:00:007,True,-13.581337953391735,-33.3347966107183,0.0,25.0,0.0,25.0
419,mouse,VISp,17.395671927357952,24.420626966679873,L23,,EXC,6396,L23,,EXC,6394,AISynphys,Accessed on 2025-07-07 00:00:007,True,-12.601661626367148,-39.69110073735193,0.0,25.0,0.0,25.0
420,mouse,VISp,81.5547400046961,43.889551301266174,L4,,EXC,6417,L5,Tlx3,EXC,6423,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.014653948590467258,2163.999118599269,75.0,100.0,25.0,50.0
421,mouse,VISp,78.58315313482615,93.6394010427686,L4,Pvalb,INH,6418,L5,Tlx3,EXC,6424,AISynphys,Accessed on 2025-07-07 00:00:007,True,-56.5974347244751,-75.55684951300671,75.0,100.0,75.0,100.0
422,mouse,VISp,13.945085228634769,91.22209218147826,L5,,EXC,6535,L5,,,6538,AISynphys,Accessed on 2025-07-07 00:00:007,True,-40.20890342510193,-25.679067946459163,0.0,25.0,75.0,100.0
423,mouse,VISp,69.39888792976043,8.532181409380371,L5,Sst,INH,6555,L5,Tlx3,EXC,6556,AISynphys,Accessed on 2025-07-07 00:00:007,True,-22.319445662129425,-71.82995699147884,50.0,75.0,0.0,25.0
424,mouse,VISp,131.73485088282055,100.96119548153652,L4,,EXC,6577,L4,,,6578,AISynphys,Accessed on 2025-07-07 00:00:007,True,-31.756828658122892,-45.17804123411367,125.0,150.0,100.0,125.0
425,mouse,VISp,38.62131767826583,71.86323390492852,L4,Pvalb,INH,6607,L5,Tlx3,EXC,6608,AISynphys,Accessed on 2025-07-07 00:00:007,True,-122.76620473022281,-72.6957302559745,25.0,50.0,50.0,75.0
426,mouse,VISp,67.96056293039307,47.98579519632902,L5,Sim1,EXC,6771,L5,,EXC,6769,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.5033913004410584,-109.96559500916274,50.0,75.0,25.0,50.0
427,mouse,VISp,8.239709100137203,22.55261513960458,L4,Pvalb,INH,6777,L4,Tlx3,EXC,6778,AISynphys,Accessed on 2025-07-07 00:00:007,True,-12.481291611250377,-70.31861226090405,0.0,25.0,0.0,25.0
428,mouse,VISp,23.912910410963025,0.11221464806349205,L4,Pvalb,INH,6777,L4,Tlx3,EXC,6779,AISynphys,Accessed on 2025-07-07 00:00:007,True,-33.37818240120577,-73.7478517024976,0.0,25.0,0.0,25.0
429,mouse,VISp,50.62646788481734,7.80598338952187,L4,Pvalb,INH,6777,L4,Pvalb,INH,6782,AISynphys,Accessed on 2025-07-07 00:00:007,True,-15.09014725929395,-73.15530208804147,50.0,75.0,0.0,25.0
430,mouse,VISp,50.62646788481734,7.80598338952187,L4,Pvalb,INH,6782,L4,Pvalb,INH,6777,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.987209254932984,-72.19196728863183,50.0,75.0,0.0,25.0
431,mouse,VISp,55.877549766364986,9.031087050150399,L4,Rorb,EXC,7448,L4,Rorb,EXC,7450,AISynphys,Accessed on 2025-07-07 00:00:007,True,-19.505062101515957,-36.46179851616686,50.0,75.0,0.0,25.0
432,mouse,VISp,22.686272987336224,16.766205582779836,L5,Tlx3,EXC,7743,L5,Sst,INH,7744,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.21271363213717961,11.58386094515198,0.0,25.0,0.0,25.0
433,mouse,VISp,48.645821101062616,49.89343579924489,L5,Sst,INH,7744,L5,Tlx3,EXC,7742,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.6390330468959746,-69.57001156571349,25.0,50.0,25.0,50.0
434,mouse,VISp,81.58449168916358,48.037921626885876,L5,Pvalb,INH,7901,L4,Tlx3,EXC,7907,AISynphys,Accessed on 2025-07-07 00:00:007,True,-5.731481824921459,-69.77957779525,75.0,100.0,25.0,50.0
435,mouse,VISp,188.96198129960624,6.6873619108901,L5,Tlx3,EXC,7906,L5,Pvalb,INH,7903,AISynphys,Accessed on 2025-07-07 00:00:007,True,-11.4644799596693,-32.23690823444048,175.0,200.0,0.0,25.0
436,mouse,VISp,22.83300262795958,30.644493852755815,L4,Tlx3,EXC,7907,L5,Tlx3,EXC,7906,AISynphys,Accessed on 2025-07-07 00:00:007,True,8.066672546034795,-124.98457447847063,0.0,25.0,25.0,50.0
437,mouse,VISp,13.668955330391682,64.00446363977878,L4,Rorb,EXC,8051,L5,,INH,8049,AISynphys,Accessed on 2025-07-07 00:00:007,True,2.545637572869245,-318.7442795566104,0.0,25.0,50.0,75.0
438,mouse,VISp,83.80411221078266,93.27483903691568,L5,Tlx3,EXC,8086,L4,Pvalb,INH,8082,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.939971871638596,137.48804859758332,75.0,100.0,75.0,100.0
439,mouse,VISp,16.74768303604635,54.92225733392737,L5,Tlx3,EXC,8237,L5,Sst,INH,8238,AISynphys,Accessed on 2025-07-07 00:00:007,True,31.642795089287024,-85.70006311489173,0.0,25.0,50.0,75.0
440,mouse,VISp,48.34183879457934,107.82432593046352,L4,Rorb,EXC,8244,L5,,INH,8249,AISynphys,Accessed on 2025-07-07 00:00:007,True,-8.930769794538483,-11.993063391626968,25.0,50.0,100.0,125.0
441,mouse,VISp,35.51264532120484,1.1460792033265201,L5,Rorb,EXC,10005,L4,Rorb,EXC,10004,AISynphys,Accessed on 2025-07-07 00:00:007,True,10.361300187341326,-97.86122876791751,25.0,50.0,0.0,25.0
442,mouse,VISp,73.60235853713783,51.4085987922312,L4,Rorb,EXC,10024,L4,Rorb,EXC,10026,AISynphys,Accessed on 2025-07-07 00:00:007,True,-9.342921079958213,-10.659391927084261,50.0,75.0,50.0,75.0
443,mouse,VISp,3.6299931949363526,38.341906495957005,L4,Pvalb,INH,10045,L4,Tlx3,EXC,10050,AISynphys,Accessed on 2025-07-07 00:00:007,True,-41.119498764188045,-74.49457011918466,0.0,25.0,25.0,50.0
444,mouse,VISp,56.309511033760295,9.939165451831455,L6a,,EXC,10850,L6a,,INH,10841,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.138712806197155,-97.35211683610287,50.0,75.0,0.0,25.0
445,mouse,VISp,103.64992192500222,60.39202521617314,L6a,,EXC,10897,L6b,Ntsr1,EXC,10892,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.3974543391026391,-793.072194030456,100.0,125.0,50.0,75.0
446,mouse,VISp,56.84936223817088,23.353988606728606,L6a,,EXC,11085,L6a,,EXC,11083,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.281668865098796,24.299874234210918,50.0,75.0,0.0,25.0
447,mouse,VISp,22.88956527923679,16.558294678122877,L6a,,EXC,11086,L6a,Ntsr1,EXC,11087,AISynphys,Accessed on 2025-07-07 00:00:007,True,-5.614819491753521,154.11133588892184,0.0,25.0,0.0,25.0
448,mouse,VISp,53.54702499932228,13.192705190444446,L6a,,EXC,11104,L6a,Ntsr1,EXC,11102,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.2762178061958664,50.51160244675337,50.0,75.0,0.0,25.0
449,mouse,VISp,185.50927320867171,36.92727931476063,L6a,,EXC,11104,L6b,,INH,11105,AISynphys,Accessed on 2025-07-07 00:00:007,True,3.8685684219921526,-290.7525037929395,175.0,200.0,25.0,50.0
450,mouse,VISp,133.3229222186871,44.8938896908019,L6a,,EXC,11108,L6a,Ntsr1,EXC,11102,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.7877652243437674,-30.482458777756214,125.0,150.0,25.0,50.0
451,mouse,VISp,178.3176651577208,56.326446869114456,L4,Sim1,EXC,11329,L4,Sim1,EXC,11334,AISynphys,Accessed on 2025-07-07 00:00:007,True,15.832269147058486,-126.12628794968877,175.0,200.0,50.0,75.0
452,mouse,VISp,141.0726609644818,14.53618245520112,L4,Sim1,EXC,11333,L4,Sim1,EXC,11334,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.4351783832200433,147.7819232457861,125.0,150.0,0.0,25.0
453,mouse,VISp,97.09955486871132,22.071683546755118,L5,Sim1,EXC,11342,L5,Sim1,EXC,11339,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.865535817888545,51.58140931655249,75.0,100.0,0.0,25.0
