ecephys_unit_id,receptive field area (degrees),region,layer,spiking class,citation,dataset
915961144,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959148,1500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959154,600.0,grey,,FS,siegle_survey_2019,Siegle2019
915959178,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959184,700.0,grey,,RS,siegle_survey_2019,Siegle2019
915959194,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959203,600.0,grey,,FS,siegle_survey_2019,Siegle2019
915959218,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959223,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959228,600.0,grey,,FS,siegle_survey_2019,Siegle2019
915959238,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959252,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959257,0.0,grey,,FS,siegle_survey_2019,Siegle2019
915961019,700.0,grey,,FS,siegle_survey_2019,Siegle2019
915959266,2100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959283,1100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959312,1500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959338,1400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959316,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959330,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959334,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959371,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959375,2000.0,grey,,FS,siegle_survey_2019,Siegle2019
915959410,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959383,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959386,600.0,grey,,FS,siegle_survey_2019,Siegle2019
915959391,700.0,grey,,FS,siegle_survey_2019,Siegle2019
915959394,1400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959398,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959402,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959415,1500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959419,200.0,grey,,FS,siegle_survey_2019,Siegle2019
