cell_id,depth (um),Schneider-Mizell type,region
296618,269.754378092119,L4a,VISp
296619,296.86520896503845,L4a,VISp
298893,360.6001959266128,L4c,VISp
294502,235.50571366364477,L3a,VISp
292826,145.5504922139973,L2a,VISp
264994,401.7085758658181,L5a,VISp
301216,408.93221729037526,L6a,VISp
296532,293.65016078168026,L4a,VISp
296517,289.3514840543065,L4a,VISp
262932,346.84911822569194,L4b,VISp
292712,138.7971050177099,L2b,VISp
292751,125.36400011389924,L2b,VISp
301116,411.3914362854705,L5b,VISp
296743,267.01363061493936,L3c,VISp
256535,169.39335662100035,L3b,VISp
296535,273.12610058906444,L3c,VISp
299027,365.2967003004777,L4a,VISp
298774,358.16958927928846,L4b,VISp
301198,409.4144947818731,L5a,VISp
258291,223.2071620485077,L4a,VISp
262417,363.0036065987828,L4a,VISp
264941,409.0034593137892,L5b,VISp
262787,365.4279127684796,L4a,VISp
298947,372.1772534868582,L4a,VISp
260518,267.86775351044946,L4a,VISp
294657,211.59259020513832,L3c,VISp
262810,320.9783302753001,L4a,VISp
296779,308.5029594799637,L4b,VISp
262893,312.99455324949616,L4b,VISp
258348,188.1715129748952,L3b,VISp
296511,269.84524405850726,L4a,VISp
258388,235.3947325316985,L3b,VISp
258307,224.2406467065775,L3c,VISp
264846,406.34805765733904,L5a,VISp
260705,261.2035559728587,L3c,VISp
260592,261.9409171289451,L4a,VISp
260739,282.35055657804384,L4a,VISp
262815,326.2317932489042,L4a,VISp
258360,186.0076371498145,L3c,VISp
301236,411.8353326924321,L5b,VISp
299019,337.67269641426,L4b,VISp
292728,134.59776226462728,L2a,VISp
294670,238.71758269725052,L4a,VISp
294673,189.61791152193877,L3b,VISp
292889,129.79504522007278,L2b,VISp
296728,253.7843095789736,L4a,VISp
294504,191.0905527732803,L3a,VISp
296602,297.1267665728859,L4a,VISp
294446,219.05539089795576,L3c,VISp
258352,212.21165813217397,L3c,VISp
294494,224.62020843409024,L3c,VISp
292858,152.07093415020813,L2b,VISp
296760,289.3936511549328,L3c,VISp
260504,276.67585599888406,L4a,VISp
292951,123.29049903262354,L2b,VISp
262891,361.90295504277447,L4a,VISp
294652,202.2825862822314,L3b,VISp
296680,310.1795867123483,L4a,VISp
296727,279.43671864162144,L3c,VISp
298895,330.4322340909076,L4a,VISp
298938,355.4022235189816,L4b,VISp
262688,360.3009510967541,L4c,VISp
255156,91.66960688473895,L2a,VISp
262780,339.8608495265613,L4a,VISp
262696,337.0616344468541,L4a,VISp
262699,326.1624588206904,L4a,VISp
298873,354.1393196818503,L4a,VISp
262677,356.29712631681167,L4a,VISp
298942,352.0549804224548,L4c,VISp
262786,343.5785794763607,L4a,VISp
292720,165.83770548669273,L2b,VISp
294453,197.75113776041252,L3c,VISp
298951,352.40873337311973,L4c,VISp
298769,322.3695851876332,L4a,VISp
260697,255.38905927404016,L4a,VISp
291176,111.63980063118052,L2b,VISp
296761,289.7435024457538,L4a,VISp
256427,121.4312152441728,L2b,VISp
294663,225.79426954378795,L3b,VISp
256610,139.87110964302462,L2b,VISp
