firing rate (Hz),region,layer,spiking class,citation,dataset,stimulus orientation (degrees),temporal frequency (Hz)
0.2993118261335258,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.098084470159452,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1767167524839324,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0561743936862193,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0987810357878923,VIS,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1907583404914764,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.133840308845953,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1009611836607904,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3445759065283132,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2427780927493746,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2152997957476611,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2640315175392018,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.285834662589653,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4172184823492112,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2348935400636133,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1020775513453598,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2314759498362371,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0541607374384577,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2513965750868001,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.6186743258607171,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3549328381834351,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.239505974495422,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3142176618788518,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1560064970572761,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2093889530697296,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0491663415993719,VISp,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0181919795742839,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0378057249411804,VISp,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0397608501701404,VISp,L5,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3506246666590938,VISp,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0755246685822521,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0110405379501632,VISp,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1519557555570011,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1387338009060811,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3173281109478703,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4903212209481035,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.072759149145235,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1458506474903476,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1347183476769671,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2647475557650343,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4476762464592884,VISp,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1930394287602176,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0946028762950557,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0525373054665966,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0788448802350954,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.29751394978129,NOT,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4366024301002089,VISp,L2,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0632105775216172,SUB,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4534019130966558,SUB,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1259746536232495,SUB,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0671398124306509,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0354762587198626,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0198783544811003,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0465110918672052,SUB,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0290764021762689,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.132373151206548,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1191317476756956,SUB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0239375223138748,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1774615652441492,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0696653689503289,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
