,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
173,mouse,VISp,42.99853286423293,30.064536583381578,L4,Pvalb,INH,12515,L4,Pvalb,INH,12514,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.019334591799184273,0.6970472751872281,4.756061376129813,-55.0,25.0,50.0,25.0,50.0
174,mouse,VISp,66.14944295153093,14.687289893382141,L4,,EXC,12578,L4,Sim1,EXC,12580,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01439121139120887,2.9103172062404483,4.573419558859861,-70.0,50.0,75.0,0.0,25.0
175,mouse,VISp,47.7781087522661,77.5043120296328,L5,,INH,12579,L4,Sim1,EXC,12580,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.031513130761059195,0.9878637276146947,5.427887057809758,-55.0,25.0,50.0,75.0,100.0
176,mouse,VISp,66.14944295153093,14.687289893382141,L4,Sim1,EXC,12580,L4,,EXC,12578,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0013675759968108639,1.807029772701,7.194266300419128,-70.0,50.0,75.0,0.0,25.0
177,mouse,VISp,21.475730465172198,9.689509885813688,L4,Nr5a1,EXC,12701,L4,Nr5a1,EXC,12702,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004951031332053498,1.5284970792465136,3.5140094213509205,-70.0,0.0,25.0,0.0,25.0
178,mouse,VISp,17.99603531687498,17.4931524189841,L4,Sst,INH,12740,L4,Nr5a1,EXC,12745,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0023795593307718585,1.8112484193884995,6.132435702566169,-55.0,0.0,25.0,0.0,25.0
179,mouse,VISp,12.996220480847699,36.93543388283398,L4,Nr5a1,EXC,12751,L4,Nr5a1,EXC,12747,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.020034082738454532,1.418641673771686,2.0496704224555886,-70.0,0.0,25.0,25.0,50.0
180,mouse,VISp,13.116358076390233,98.74504446326377,L4,Nr5a1,EXC,12888,L5,Pvalb,INH,12890,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.019888046555674374,1.9944031095505537,4.038166350105673,-70.0,0.0,25.0,75.0,100.0
181,mouse,VISp,30.608628517675225,3.398266294293125,L5,Nr5a1,EXC,12914,L5,Nr5a1,EXC,12915,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.012292214305703526,1.4578503046551075,4.336086911535771,-70.0,25.0,50.0,0.0,25.0
182,mouse,VISp,30.608628517675225,3.398266294293125,L5,Nr5a1,EXC,12915,L5,Nr5a1,EXC,12914,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.005056685336884639,1.4185549514338316,1.0048368583965113,-70.0,25.0,50.0,0.0,25.0
183,mouse,VISp,12.898025932199149,70.66887671904998,L23,Nr5a1,EXC,12921,L4,Pvalb,INH,12919,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.007497800554220423,1.1947758384299665,1.762321899602513,-70.0,0.0,25.0,50.0,75.0
184,mouse,VISp,109.16407916542033,62.616026702161356,L4,Pvalb,INH,12953,L4,Nr5a1,EXC,12948,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005582972446452086,1.4741637777699383,15.667870284278921,-55.0,100.0,125.0,50.0,75.0
185,mouse,VISp,170.29180439143835,30.86079885984943,L4,Pvalb,INH,12954,L4,Nr5a1,EXC,12951,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001317300811159041,1.7499415373704088,6.128430564283044,-55.0,150.0,175.0,25.0,50.0
186,mouse,VISp,211.79622201512387,33.80180491527318,L6a,Sst,INH,12977,L6a,Vip,INH,12982,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.2096261854285309e-05,1.2067249863307752,1.3837931060509112,-55.0,200.0,225.0,25.0,50.0
