,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
329,mouse,VISp,12.695829997908618,10.432323224680205,L23,,INH,22525,L23,Sst,INH,22526,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0009323907598068347,1.7752464936141716,2.7336404483072076,-55.0,0.0,25.0,0.0,25.0
330,mouse,VISp,124.54559473040075,7.991190620979225,L23,Sst,INH,22542,L23,,,22549,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0005990541632199015,1.9566506670730837,2.497043690924032,-55.0,100.0,125.0,0.0,25.0
331,mouse,VISp,117.37105677128922,4.640922111041288,L23,,INH,22543,L23,Vip,INH,22548,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002063134292166342,1.4912239757131645,4.27945428520929,-55.0,100.0,125.0,0.0,25.0
332,mouse,VISp,39.5899747121589,70.72465720482913,L23,Sst,INH,22546,L23,Vip,INH,22548,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008574617943946624,0.5156590096951323,8.273742338414307,-55.0,25.0,50.0,50.0,75.0
333,mouse,VISp,49.05712758794125,34.271050342243164,L23,,EXC,22737,L23,Sst,INH,22738,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002136936483890397,0.8789428565228763,0.9932241698513736,-70.0,25.0,50.0,25.0,50.0
334,mouse,VISp,77.87555624227318,57.548971359760586,L23,Pvalb,INH,23094,L23,Pvalb,INH,23093,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.009455968606187134,2.787088790344875,1.3488467818851197,-55.0,75.0,100.0,50.0,75.0
335,mouse,VISp,54.35205848120576,170.30287743436887,L4,Pvalb,INH,23140,L23,Pvalb,INH,23139,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.022168902375515855,1.2584605858846027,2.5760224769805786,-55.0,50.0,75.0,150.0,175.0
336,mouse,VISp,83.92784624510413,1.9241451785512933,L23,Pvalb,INH,23346,L23,Pvalb,INH,23342,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004125090496928841,1.095437022979195,2.796945871325054,-55.0,75.0,100.0,0.0,25.0
337,mouse,VISp,12.246108036557168,81.99795721459769,L23,Pvalb,INH,23346,L23,Sst,INH,23345,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.011637169467036954,1.229274465248195,6.7126500926010815,-55.0,0.0,25.0,75.0,100.0
338,mouse,VISp,74.72456490675896,26.114034530030114,L4,Pvalb,INH,23560,L4,Pvalb,INH,23564,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008337371670225014,1.3741831076006659,5.993113062315374,-55.0,50.0,75.0,25.0,50.0
339,mouse,VISp,56.28434863503406,32.2298385844551,L4,Sst,INH,23561,L4,Pvalb,INH,23560,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008352360713449756,2.372599771090903,4.698244362108708,-55.0,50.0,75.0,25.0,50.0
340,mouse,VISp,68.5831643711781,1.0072152331747268,L4,Sst,INH,23561,L4,Sst,INH,23562,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0034472751610052435,5.46914995080275,2.782926910697433,-55.0,50.0,75.0,0.0,25.0
341,mouse,VISp,17.43458019360392,58.32799470993985,L4,Sst,INH,23561,L4,Pvalb,INH,23564,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006438851383840994,4.5186511878557125,17.167232892352384,-55.0,0.0,25.0,50.0,75.0
342,mouse,VISp,153.19605372369128,27.482732723258863,L4,Sst,INH,23563,L4,Pvalb,INH,23560,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0031246939482899526,2.0703655145338744,3.581692804426011,-55.0,150.0,175.0,25.0,50.0
343,mouse,VISp,74.72456490675896,26.114034530030114,L4,Pvalb,INH,23564,L4,Pvalb,INH,23560,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.016108550784877117,0.8044356046315869,4.786704174193229,-55.0,50.0,75.0,25.0,50.0
344,mouse,VISp,98.8957220230598,16.530071251741337,L23,Sst,INH,23636,L23,,INH,23633,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002719459961678821,2.2200636204182165,1.030626624306488,-55.0,75.0,100.0,0.0,25.0
345,mouse,VISp,120.3976442779565,32.10204716850156,L23,Vip,INH,23652,L4,Sst,INH,23654,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0017832728064841679,2.54412384415518,10.622330177130321,-55.0,100.0,125.0,25.0,50.0
346,mouse,VISp,65.09977282023434,23.112526111263485,L23,Pvalb,INH,23805,L23,Sst,INH,23806,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0014730140747553561,0.701442162518373,14.571258782415088,-55.0,50.0,75.0,0.0,25.0
347,mouse,VISp,65.09977282023434,23.112526111263485,L23,Sst,INH,23806,L23,Pvalb,INH,23805,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.000390236262933515,2.2905021464187367,25.651277833044926,-55.0,50.0,75.0,0.0,25.0
348,mouse,VISp,54.817646171129745,11.262275059100464,L5,Tlx3,EXC,24114,L5,Tlx3,EXC,24118,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0017771574213984547,1.689881297827402,1.2290603585493196,-70.0,50.0,75.0,0.0,25.0
349,mouse,VISp,43.92520180765729,4.4165150658164425,L5,Tlx3,EXC,24119,L5,Fam84b,EXC,24115,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.005788612151398603,1.4783919207927285,2.8863811077377437,-70.0,25.0,50.0,0.0,25.0
350,mouse,VISp,118.08971535664419,20.75217900816692,L23,Sst,INH,24136,L23,Vip,INH,24134,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0009898043353231767,0.8411056153044282,5.422292424509256,-55.0,100.0,125.0,0.0,25.0
351,mouse,VISp,2.4002240742187433,21.069453247617567,L23,Vip,INH,24137,L23,Sst,INH,24136,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.013064336218337637,2.8791593144671106,39.999984524046425,-55.0,0.0,25.0,0.0,25.0
352,mouse,VISp,30.908689733027437,33.51131898161314,L23,Sst,INH,24246,L23,Pvalb,INH,24248,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00322281170381243,1.6876442704425951,3.6862758290569726,-55.0,25.0,50.0,25.0,50.0
353,mouse,VISp,27.000896623308765,3.602825554672533,L5,Tlx3,EXC,631,L5,,,632,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.008581588905792812,1.9786620471935918,13.047675942040305,-70.0,25.0,50.0,0.0,25.0
354,mouse,VISp,59.23154053750609,19.4970706880217,L5,Tlx3,EXC,1024,L5,Sst,INH,1022,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.006742702651711461,1.1422280935871203,1.7476229900203906,-70.0,50.0,75.0,0.0,25.0
355,mouse,VISp,3.9634524045076454,19.30882188035309,L4,Pvalb,INH,1976,L4,Tlx3,EXC,1979,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.021191820010105104,0.8544408576319662,3.4235584371158274,-55.0,0.0,25.0,0.0,25.0
356,mouse,VISp,3.9634524045076454,19.30882188035309,L4,Tlx3,EXC,1979,L4,Pvalb,INH,1976,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.014564609147511115,1.2211243197328474,2.4343078840893977,-70.0,0.0,25.0,0.0,25.0
357,mouse,VISp,14.709254161053298,48.551434852900705,L5,Sst,INH,2191,L4,Tlx3,EXC,2192,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0058448298542268405,1.9376992997011704,7.87723109276597,-55.0,0.0,25.0,25.0,50.0
358,mouse,VISp,33.59419927462957,41.99990348175202,L5,Tlx3,EXC,2328,L5,Sst,INH,2327,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.02196845514346982,0.946029694870515,1.2401708603240502,-70.0,25.0,50.0,25.0,50.0
359,mouse,VISp,31.68105595133925,50.91381332023874,L5,Tlx3,EXC,2335,L5,Sst,INH,2337,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0027437603126019973,1.3043074841713511,4.1338259428164905,-70.0,25.0,50.0,50.0,75.0
360,mouse,VISp,50.35842957957254,24.529236954688272,L5,Tlx3,EXC,2338,L5,Sst,INH,2337,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0019275070415880194,2.518638538948598,3.7283024086297956,-70.0,50.0,75.0,0.0,25.0
361,mouse,VISp,14.818312943365267,65.33115514677887,L5,Pvalb,INH,2519,L5,Sst,INH,2521,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004928538891201926,0.7547265498437952,1.0293034036822573,-55.0,0.0,25.0,50.0,75.0
362,mouse,VISp,61.096005298455374,3.5131918508868023,L5,Sst,INH,2666,L5,Tlx3,EXC,2670,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0007039671420892883,2.733050060736685,8.81366734766167,-55.0,50.0,75.0,0.0,25.0
363,mouse,VISp,126.1845987669838,50.45525817856107,L5,Tlx3,EXC,2668,L5,Tlx3,EXC,2670,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.011287100994195668,0.7319941976179885,1.5205208562854162,-70.0,125.0,150.0,50.0,75.0
364,mouse,VISp,124.67274878175174,135.14891525373812,L5,Tlx3,EXC,2671,L5,Tlx3,EXC,2668,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014163794830639783,1.8596553002815004,1.2734077776184394,-70.0,100.0,125.0,125.0,150.0
365,mouse,VISp,88.01095905344248,18.875452621413313,L5,Tlx3,EXC,2744,L4,Sst,INH,2749,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0027778359177513365,1.549667676952107,6.111742774384694,-70.0,75.0,100.0,0.0,25.0
366,mouse,VISp,11.631737095151458,22.854999542534983,L5,Tlx3,EXC,2796,L5,Tlx3,EXC,2803,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.007212948478354066,1.9761137387228904,10.28837537860042,-70.0,0.0,25.0,0.0,25.0
367,mouse,VISp,12.931624395788814,28.447314802389442,L5,Tlx3,EXC,2798,L5,Tlx3,EXC,2800,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0011267330113677377,0.5870729402821759,14.49476072291602,-70.0,0.0,25.0,25.0,50.0
368,mouse,VISp,79.56143747725727,58.91267277320262,L5,Tlx3,EXC,2799,L5,Tlx3,EXC,2802,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.000934710763973023,2.533787228152983,2.152032348559466,-70.0,75.0,100.0,50.0,75.0
369,mouse,VISp,66.89882386191742,67.06388985722656,L5,Pvalb,INH,3029,L5,Pvalb,INH,3031,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.03236860318558616,0.7992571194088469,1.9780407793182435,-55.0,50.0,75.0,50.0,75.0
370,mouse,VISp,112.50080932462976,38.337519049010446,L5,Pvalb,INH,3033,L5,Pvalb,INH,3029,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004807198476286446,0.8935067906021463,1.7439001401001604,-55.0,100.0,125.0,25.0,50.0
371,mouse,VISp,17.739960746305396,52.17357172064752,L5,Pvalb,INH,3033,L5,Pvalb,INH,3034,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.010070386285197032,1.3286689156512863,2.781393008610564,-55.0,0.0,25.0,50.0,75.0
372,mouse,VISp,54.76195099496581,23.436341333597817,L4,,EXC,3100,L4,,,3099,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002538519501377427,1.6629272135195214,5.06166403570792,-70.0,50.0,75.0,0.0,25.0
373,mouse,VISp,7.982748387955991,72.36750742663818,L5,Pvalb,INH,3191,L5,Tlx3,EXC,3194,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.015942002176588786,1.502629831135713,5.545077206446691,-55.0,0.0,25.0,50.0,75.0
374,mouse,VISp,8.294013767656507,63.00110169728715,L5,Tlx3,EXC,3199,L4,Tlx3,EXC,3203,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0006651113326173888,0.7489944861861828,3.944145312835408,-70.0,0.0,25.0,50.0,75.0
375,mouse,VISp,86.64164168944033,33.68714004599602,L5,Tlx3,EXC,3428,L5,Pvalb,INH,3425,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.1965199554977449e-13,0.8551137078305814,1.5072284565248057,-70.0,75.0,100.0,25.0,50.0
376,mouse,VISp,75.68110461126227,41.99913264139066,L5,Sst,INH,3766,L5,Sst,INH,3762,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0028797190757407737,1.0474892048901776,2.4691757700588024,-55.0,75.0,100.0,25.0,50.0
377,mouse,VISp,31.407237130169502,37.301833418470494,L5,Rorb,EXC,3862,L5,,INH,3863,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.023415033834464097,1.550894330656143,1.8779158037137589,-70.0,25.0,50.0,25.0,50.0
378,mouse,VISp,31.407237130169502,37.301833418470494,L5,,INH,3863,L5,Rorb,EXC,3862,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.024320184558668936,1.0888469197549928,7.992119161282615,-55.0,25.0,50.0,25.0,50.0
379,mouse,VISp,24.51458203974824,11.138138536867096,L5,Rorb,EXC,3864,L5,Rorb,EXC,3865,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002702792954246628,1.360976080640786,14.842391968148458,-70.0,0.0,25.0,0.0,25.0
380,mouse,VISp,32.84472709953535,68.5024644153554,L5,Rorb,EXC,3864,L5,,,3866,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.033593769793731916,0.8562026658398517,1.7147663028086844,-70.0,25.0,50.0,50.0,75.0
381,mouse,VISp,8.670919946134477,57.41088040169492,L5,Rorb,EXC,3865,L5,,,3866,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0430674037862252,1.4950477094496855,1.4424243441149616,-70.0,0.0,25.0,50.0,75.0
382,mouse,VISp,11.610577031079744,116.19636766683088,L5,,INH,3867,L5,Rorb,EXC,3865,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005005088410206974,1.7095528256000154,11.275848591952096,-55.0,0.0,25.0,100.0,125.0
383,mouse,VISp,30.62445649527425,23.751101567486558,L5,Sst,INH,3874,L5,Sst,INH,3875,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0014844670802475794,0.34752906179138465,4.464524538846506,-55.0,25.0,50.0,0.0,25.0
384,mouse,VISp,11.052412592332608,18.55460555384717,L6a,Slc17a8,EXC,4000,L6a,Slc17a8,EXC,4007,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003565623531590112,2.372529182497436,6.158250718599041,-70.0,0.0,25.0,0.0,25.0
385,mouse,VISp,64.47479679302626,92.61727164788418,L6a,Slc17a8,EXC,4048,L6a,,,4042,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014893211952615914,1.6731906059266073,0.9873415945945498,-70.0,50.0,75.0,75.0,100.0
386,mouse,VISp,66.20407268927205,68.36022976734039,L5,,INH,4105,L5,Rorb,EXC,4103,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006303631650432218,1.961411747546155,3.0064919330716666,-55.0,50.0,75.0,50.0,75.0
387,mouse,VISp,32.144308203808244,41.4495556255864,L5,,INH,4376,L4,Rorb,EXC,4375,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006602031092862499,0.10000000006064015,3.35047758340124,-55.0,25.0,50.0,25.0,50.0
388,mouse,VISp,29.20366778277968,38.520584211990375,L5,Tlx3,EXC,4432,L5,Sst,INH,4441,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003252955270363907,1.8564882173034103,5.450571770491464,-70.0,25.0,50.0,25.0,50.0
389,mouse,VISp,76.56498387816764,14.300299916642276,L5,Tlx3,EXC,4435,L5,Sst,INH,4441,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0028704022796085327,1.2636239362710042,7.180391610293002,-70.0,75.0,100.0,0.0,25.0
390,mouse,VISp,29.20366778277968,38.520584211990375,L5,Sst,INH,4441,L5,Tlx3,EXC,4432,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005004035426176638,3.5562390477863155,8.998520161978552,-55.0,25.0,50.0,25.0,50.0
391,mouse,VISp,54.94603640970746,103.07383127444677,L5,,INH,4501,L5,Rorb,EXC,4499,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.013170899641503822,1.4008996748916618,2.5319593822268844,-55.0,50.0,75.0,100.0,125.0
392,mouse,VISp,39.07586823984224,79.39510734360451,L5,Tlx3,EXC,4593,L5,Sst,INH,4598,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.000936126455594575,2.4626050952557867,7.312164686444431,-70.0,25.0,50.0,75.0,100.0
393,mouse,VISp,27.727504916929462,32.69544092395223,L4,Rorb,EXC,4687,L4,Rorb,EXC,4691,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.015757680358613333,1.6426949622051799,2.900589044262385,-70.0,25.0,50.0,25.0,50.0
394,mouse,VISp,91.51349436089576,18.30385959923136,L4,Rorb,EXC,4688,L4,Rorb,EXC,4692,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0036493440247240805,1.9301985917858,0.9998215394140769,-70.0,75.0,100.0,0.0,25.0
395,mouse,VISp,37.226688774452946,34.531883910091224,L4,Rorb,EXC,4690,L4,Rorb,EXC,4688,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0032058512354161714,0.522217588509672,2.550614716240908,-70.0,25.0,50.0,25.0,50.0
396,mouse,VISp,82.25270806223527,10.620618865148149,L4,Rorb,EXC,4691,L4,Rorb,EXC,4688,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0008435216880457435,3.5440609881503615,1.1643402661740225,-70.0,75.0,100.0,0.0,25.0
397,mouse,VISp,91.51349436089576,18.30385959923136,L4,Rorb,EXC,4692,L4,Rorb,EXC,4688,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0021255661421287282,1.2397294202045859,2.108258468401973,-70.0,75.0,100.0,0.0,25.0
398,mouse,VISp,113.70894002149852,9.225989281768268,L5,Rorb,EXC,4796,L5,Rorb,EXC,4791,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0001516645685410131,1.5913786970116686,13.743073763594474,-70.0,100.0,125.0,0.0,25.0
399,mouse,VISp,124.99172605642404,180.02397692853555,L5,Pvalb,INH,4906,L5,Pvalb,INH,4903,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0034278369511557424,0.9583944717087974,1.1182596593769047,-55.0,100.0,125.0,175.0,200.0
400,mouse,VISp,94.67327557119792,105.06742528448119,L5,Sst,INH,5188,L5,Sst,INH,5186,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0024236653752034362,2.3061549851026895,4.161366583788571,-55.0,75.0,100.0,100.0,125.0
401,mouse,VISp,96.68468441989833,25.647158740583905,L4,Tlx3,EXC,5632,L5,Pvalb,INH,5633,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01011446541903856,0.8433567504053464,0.7088597275185664,-70.0,75.0,100.0,25.0,50.0
402,mouse,VISp,96.68468441989833,25.647158740583905,L5,Pvalb,INH,5633,L4,Tlx3,EXC,5632,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005017955765125314,1.4565106824353748,6.298761021592907,-55.0,75.0,100.0,25.0,50.0
403,mouse,VISp,17.262114409096018,54.47396932469009,L5,Pvalb,INH,5757,L5,Pvalb,INH,5755,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.011955821484214932,0.8698539456087094,1.9492564741335068,-55.0,0.0,25.0,50.0,75.0
404,mouse,VISp,4.550121940750509,126.05017916724393,L5,Tlx3,EXC,5858,L5,,,5859,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0006928263361381375,0.9967470494226934,1.1438014178983547,-70.0,0.0,25.0,125.0,150.0
405,mouse,VISp,53.546906665489956,74.97861268339986,L1,,EXC,5982,L23,,EXC,5985,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003797737532641486,2.8366317619604633,7.041048759634716,-70.0,50.0,75.0,50.0,75.0
406,mouse,VISp,53.546906665489956,74.97861268339986,L23,,EXC,5985,L1,,EXC,5982,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.005150903515739067,1.550436614380712,3.767626197620828,-70.0,50.0,75.0,50.0,75.0
407,mouse,VISp,0.6034665315128502,9.166039856194052,L5,Tlx3,EXC,6013,L5,Sst,INH,6026,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00128683379858658,1.1983715847930503,2.8113296441912805,-70.0,0.0,25.0,0.0,25.0
408,mouse,VISp,0.6034665315128502,9.166039856194052,L5,Sst,INH,6026,L5,Tlx3,EXC,6013,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019613274894083434,3.1687394590048186,8.64261242190418,-55.0,0.0,25.0,0.0,25.0
409,mouse,VISp,117.4209799241598,30.014567147638452,L23,,EXC,6042,L23,,,6039,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002386721521456041,1.9871313211440542,4.887841806173972,-70.0,100.0,125.0,25.0,50.0
410,mouse,VISp,20.60870898904145,4.590159786433372,L4,Rorb,EXC,6139,L4,Rorb,EXC,6138,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.018919644071015537,1.5504953222650713,2.1097883179833543,-70.0,0.0,25.0,0.0,25.0
411,mouse,VISp,72.00956848328204,21.78539811092543,L23,,EXC,6202,L23,,INH,6207,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.013219761854418286,1.0503425506783473,1.9682239304169196,-70.0,50.0,75.0,0.0,25.0
412,mouse,VISp,150.5162156928355,5.896957194839259,L4,,EXC,6362,L4,Sim1,EXC,6357,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0013515165287453829,0.8580436712976873,3.643265134345706,-70.0,150.0,175.0,0.0,25.0
413,mouse,VISp,81.04378274805237,6.851552817904137,L6a,,EXC,6382,L6a,,,6380,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.410600966243681e-05,2.1168636225826596,8.699173346010502,-70.0,75.0,100.0,0.0,25.0
414,mouse,VISp,7.335183153614262,58.632146854289054,L6a,Sst,INH,6383,L6a,Sst,INH,6381,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00930874062688071,1.499067016377758,5.9467297526924074,-55.0,0.0,25.0,50.0,75.0
415,mouse,VISp,20.866001198191167,5.652248932688025,L23,,EXC,6391,L23,,EXC,6394,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0058400892355081006,2.0371567044122108,5.417874868869575,-70.0,0.0,25.0,0.0,25.0
416,mouse,VISp,17.395671927357952,24.420626966679873,L23,,EXC,6396,L23,,EXC,6394,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.006211834223034392,1.9440154644158236,5.390299938515086,-70.0,0.0,25.0,0.0,25.0
417,mouse,VISp,81.5547400046961,43.889551301266174,L4,,EXC,6417,L5,Tlx3,EXC,6423,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.1653224165680613e-05,1.283197450714451,1.3412977049278798,-70.0,75.0,100.0,25.0,50.0
418,mouse,VISp,78.58315313482615,93.6394010427686,L4,Pvalb,INH,6418,L5,Tlx3,EXC,6424,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.02736280515816718,1.0502761227153943,3.2393773269348753,-55.0,75.0,100.0,75.0,100.0
419,mouse,VISp,13.945085228634769,91.22209218147826,L5,,EXC,6535,L5,,,6538,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.02421938904076421,2.3256699091814292,2.7562488604914495,-70.0,0.0,25.0,75.0,100.0
420,mouse,VISp,69.39888792976043,8.532181409380371,L5,Sst,INH,6555,L5,Tlx3,EXC,6556,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006243823215601378,1.9498316442870387,14.758592524292105,-55.0,50.0,75.0,0.0,25.0
421,mouse,VISp,131.73485088282055,100.96119548153652,L4,,EXC,6577,L4,,,6578,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0287065250902114,1.843992467352785,4.926770871971786,-70.0,125.0,150.0,100.0,125.0
422,mouse,VISp,38.62131767826583,71.86323390492852,L4,Pvalb,INH,6607,L5,Tlx3,EXC,6608,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.034815974127196336,0.8916775091873446,3.7549999312003406,-55.0,25.0,50.0,50.0,75.0
423,mouse,VISp,67.96056293039307,47.98579519632902,L5,Sim1,EXC,6771,L5,,EXC,6769,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0018014314821282607,1.2048038902617744,0.6115996270273426,-70.0,50.0,75.0,25.0,50.0
424,mouse,VISp,8.239709100137203,22.55261513960458,L4,Pvalb,INH,6777,L4,Tlx3,EXC,6778,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.017365008846816167,0.9940136370353203,6.172079529938167,-55.0,0.0,25.0,0.0,25.0
425,mouse,VISp,23.912910410963025,0.11221464806349205,L4,Pvalb,INH,6777,L4,Tlx3,EXC,6779,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.014461660304758945,1.2877241351545607,5.919190467785103,-55.0,0.0,25.0,0.0,25.0
426,mouse,VISp,50.62646788481734,7.80598338952187,L4,Pvalb,INH,6777,L4,Pvalb,INH,6782,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006886673886734031,0.7384605221297564,2.695153371162661,-55.0,50.0,75.0,0.0,25.0
427,mouse,VISp,50.62646788481734,7.80598338952187,L4,Pvalb,INH,6782,L4,Pvalb,INH,6777,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0021975696831045624,0.965616430809923,1.8308812145695916,-55.0,50.0,75.0,0.0,25.0
428,mouse,VISp,55.877549766364986,9.031087050150399,L4,Rorb,EXC,7448,L4,Rorb,EXC,7450,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.012586563950195041,1.2118567755742202,2.81809219947208,-70.0,50.0,75.0,0.0,25.0
429,mouse,VISp,22.686272987336224,16.766205582779836,L5,Tlx3,EXC,7743,L5,Sst,INH,7744,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00031321441266612976,1.1871280991867796,5.489991393520544,-70.0,0.0,25.0,0.0,25.0
430,mouse,VISp,48.645821101062616,49.89343579924489,L5,Sst,INH,7744,L5,Tlx3,EXC,7742,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002152833344848292,0.6028524165327516,7.3487987679587095,-55.0,25.0,50.0,25.0,50.0
431,mouse,VISp,81.58449168916358,48.037921626885876,L5,Pvalb,INH,7901,L4,Tlx3,EXC,7907,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00045317131382989023,0.8039836294508901,0.927760135109471,-55.0,75.0,100.0,25.0,50.0
432,mouse,VISp,188.96198129960624,6.6873619108901,L5,Tlx3,EXC,7906,L5,Pvalb,INH,7903,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002214248093624909,0.9713469155190931,2.5000488686731503,-70.0,175.0,200.0,0.0,25.0
433,mouse,VISp,22.83300262795958,30.644493852755815,L4,Tlx3,EXC,7907,L5,Tlx3,EXC,7906,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0051213470895630124,2.166263562320607,5.364076691745906,-70.0,0.0,25.0,25.0,50.0
434,mouse,VISp,13.668955330391682,64.00446363977878,L4,Rorb,EXC,8051,L5,,INH,8049,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.016829789938086103,3.023920464075388,6.201526828858636,-70.0,0.0,25.0,50.0,75.0
