orientation selectivity index,temporal frequency (Hz),region,spiking class,citation,layer,dataset
0.0713743738448034,optimal,POL,RS,siegle_survey_2019,,Siegle2019
0.0894567415461168,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.2318180583741605,optimal,TH,FS,siegle_survey_2019,,Siegle2019
0.1927686782483333,optimal,LP,RS,siegle_survey_2019,,Siegle2019
0.1316655271591799,optimal,LP,RS,siegle_survey_2019,,Siegle2019
0.1420045395619392,optimal,LGd,FS,siegle_survey_2019,,Siegle2019
0.0721312250806383,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.4123105625617659,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2121320343559642,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0365004046032521,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.2079725827019257,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2049499532613625,optimal,LGd,FS,siegle_survey_2019,,Siegle2019
0.17860802458535,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0386195399292286,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.0755615439102556,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.1574334273815725,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.1344481001660805,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1983847442494851,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0720633535053591,optimal,LGd,FS,siegle_survey_2019,,Siegle2019
0.0983136829078922,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.2074824951064742,optimal,LGd,FS,siegle_survey_2019,,Siegle2019
0.0421323373301252,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2818956041185653,optimal,VIS,FS,siegle_survey_2019,,Siegle2019
0.3020761493398643,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.1571348402636772,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.3162629865733893,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.3665567521632638,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.1176450084242362,optimal,VISpm,FS,siegle_survey_2019,L5,Siegle2019
0.1224989893875063,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.7641989269817121,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.1055914668065589,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.0610330522723872,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0975175060130906,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.0282477933124642,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.1536129511971898,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.1431049438115631,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.5228294704450878,optimal,VISpm,RS,siegle_survey_2019,L4,Siegle2019
0.073170731707317,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1724137931034482,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.2719641466102107,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1714985851425088,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.2021975978155151,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0782108987569231,optimal,VIS,FS,siegle_survey_2019,,Siegle2019
0.3600105692727775,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.318688719599549,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.2514498895358766,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.3424362587563329,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1430875764637282,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1794619228730914,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.190029237516523,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0951616562160496,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.3551531878613405,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.6128825336065632,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.2553672722956842,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.3859012219291612,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.1715435500323986,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.4303230457841728,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.37482778414706,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.1368421052631579,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.3564822733389475,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.0589255650988789,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.1351351351351351,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.2214380419674462,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.4085455122795032,optimal,VISp,RS,siegle_survey_2019,L6a,Siegle2019
0.1139047060078166,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.2311901408543516,optimal,VISp,RS,siegle_survey_2019,L6a,Siegle2019
0.1443010372239754,optimal,VISp,FS,siegle_survey_2019,L5,Siegle2019
0.4522950860932302,optimal,VISp,RS,siegle_survey_2019,L5,Siegle2019
0.0745483271295753,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.1290465085370709,optimal,VISp,RS,siegle_survey_2019,L5,Siegle2019
0.0174029451137884,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.213304826009827,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.4055175020198813,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.5050762722761054,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.0702788504973488,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.1428247013697596,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.5946427498927402,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.0573744715263982,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.3579936973775524,optimal,VISp,RS,siegle_survey_2019,L4,Siegle2019
0.5472555873328807,optimal,VIS,RS,siegle_survey_2019,,Siegle2019
0.0337116597374938,optimal,APN,FS,siegle_survey_2019,,Siegle2019
0.0706199832949989,optimal,APN,FS,siegle_survey_2019,,Siegle2019
0.0294117647058822,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.2963757976063417,optimal,NOT,RS,siegle_survey_2019,,Siegle2019
0.4417675478519753,optimal,VISp,RS,siegle_survey_2019,L2,Siegle2019
0.1923076923076923,optimal,SUB,RS,siegle_survey_2019,,Siegle2019
0.1437398936440173,optimal,SUB,RS,siegle_survey_2019,,Siegle2019
0.1693374536576816,optimal,SUB,RS,siegle_survey_2019,,Siegle2019
0.1450794527565336,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.0118306717252732,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0373702452791584,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.064712373057681,optimal,SUB,RS,siegle_survey_2019,,Siegle2019
0.0463588525491893,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0415567272135164,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0398743145022899,optimal,SUB,FS,siegle_survey_2019,,Siegle2019
0.0356978842044819,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1804985922962112,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.2511970876577459,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0996169913981721,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0452614606129452,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2925332239370033,optimal,VISp,RS,siegle_survey_2019,L4,Siegle2019
0.1708329133906012,optimal,LGd,FS,siegle_survey_2019,,Siegle2019
0.1438049706406856,optimal,LGd,FS,siegle_survey_2019,,Siegle2019
0.2795119873862512,optimal,VISp,RS,siegle_survey_2019,L3,Siegle2019
0.1387574197951657,optimal,CA3,RS,siegle_survey_2019,,Siegle2019
0.0099956610624778,optimal,CA3,FS,siegle_survey_2019,,Siegle2019
0.0536514173880863,optimal,VISl,RS,siegle_survey_2019,L6a,Siegle2019
0.366457027956038,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.1508855408030919,optimal,VISl,RS,siegle_survey_2019,L6a,Siegle2019
0.2232021824474717,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.0300761752626663,optimal,VISl,FS,siegle_survey_2019,L5,Siegle2019
0.3244777918487567,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1600997946201814,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.0507824123304787,optimal,ZI,FS,siegle_survey_2019,,Siegle2019
0.9728634259015788,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.1036588426845786,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.5148185227790308,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.0853997038535998,optimal,VISl,FS,siegle_survey_2019,L5,Siegle2019
0.2415411283492593,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.1913548165146079,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.3179153261135479,optimal,VISl,RS,siegle_survey_2019,L4,Siegle2019
0.1393529500464309,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.8112324360521362,optimal,VISl,RS,siegle_survey_2019,L3,Siegle2019
0.4731832661766293,optimal,VISl,RS,siegle_survey_2019,L3,Siegle2019
0.0801526019248182,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0566552426898161,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1448109660327421,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0351492489811399,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0178304122830341,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0241154219674574,optimal,CA3,FS,siegle_survey_2019,,Siegle2019
0.0601146565850477,optimal,CA3,RS,siegle_survey_2019,,Siegle2019
0.0311269027863588,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.1529873093111049,optimal,CA1,RS,siegle_survey_2019,L1,Siegle2019
0.1633063238239493,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.00620450091584,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0756085417858824,optimal,CA1,RS,siegle_survey_2019,L1,Siegle2019
0.0756421242310028,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0125944584382871,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0854500602627829,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0573673765315052,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.150245260976337,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0679649457328046,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.166460778179587,optimal,CA3,RS,siegle_survey_2019,,Siegle2019
0.5330214565321822,optimal,VISl,RS,siegle_survey_2019,L6a,Siegle2019
0.071930898358019,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0386861001249122,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1545453722494403,optimal,VISl,RS,siegle_survey_2019,L6a,Siegle2019
0.1335917081908536,optimal,CA3,FS,siegle_survey_2019,,Siegle2019
0.0427716283070649,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0625650893758581,optimal,VISl,RS,siegle_survey_2019,L6a,Siegle2019
0.3796645121429053,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.3585245905995814,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.028081025694713,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1588436114714342,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2114890942276294,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.1476959998507259,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.5738671871336791,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.0363654916038795,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0799033149222518,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1160986495890348,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0389463636745412,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0233880709917668,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.0963327566303383,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1381382826878383,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0531265309038315,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1416394309331329,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.2795084971874738,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.4209831511954486,optimal,CA3,RS,siegle_survey_2019,,Siegle2019
0.0363396473687217,optimal,PO,RS,siegle_survey_2019,,Siegle2019
0.0296049329695143,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0326588981546951,optimal,PO,RS,siegle_survey_2019,,Siegle2019
0.0545382433536534,optimal,PO,RS,siegle_survey_2019,,Siegle2019
0.0205761316872428,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0232729570202026,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.4995990519515718,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.1705214092728773,optimal,VIS,RS,siegle_survey_2019,L5,Siegle2019
0.1969510013693047,optimal,VIS,RS,siegle_survey_2019,L5,Siegle2019
0.0228301966700891,optimal,VIS,FS,siegle_survey_2019,L5,Siegle2019
